frameNumber,components,mse,sizeBytes,genTime,recvTime,delay_ms,receivedOnTime,effectiveError,deadline_ms,cqi
1,35,146.427,55124,0.022940134,0.027000000,4.059866,1,146.427491,10.000000,11
2,25,221.990814,39596,0.029114019,0.032500000,3.385981,1,221.990814,10.000000,11
3,30,176.494628,47360,0.035822199,0.039000000,3.177801,1,176.494628,10.000000,11
4,25,222.190876,39596,0.043323646,0.046000000,2.676354,1,222.190876,10.000000,11
5,30,181.591348,47360,0.047718847,0.053500000,5.781153,1,181.591348,10.000000,11
6,30,171.376907,47360,0.053768417,0.057000000,3.231583,1,171.376907,10.000000,11
7,30,169.740947,47360,0.058834284,0.062000000,3.165716,1,169.740947,10.000000,11
8,25,208.946464,39596,0.065169049,0.068000000,2.830951,1,208.946464,10.000000,11
9,25,210.709621,39596,0.071223608,0.076000000,4.776392,1,210.709621,10.000000,11
10,25,205.374003,39596,0.076470398,0.079000000,2.529602,1,205.374003,10.000000,11
11,30,163.811002,47360,0.082429674,0.086500000,4.070326,1,163.811002,10.000000,11
12,30,164.706900,47360,0.089849505,0.095500000,5.650495,1,164.706900,10.000000,11
13,25,213.486573,39596,0.095132373,0.103500000,8.367627,1,213.486573,10.000000,11
14,25,205.899785,39596,0.101612505,0.107000000,5.387495,1,205.899785,10.000000,11
15,25,212.357792,39596,0.106082488,0.112000000,5.917512,1,212.357792,10.000000,11
16,30,167.446532,47360,0.110637939,0.117500000,6.862061,1,167.446532,10.000000,11
17,30,174.236937,47360,0.118037542,0.122000000,3.962458,1,174.236937,10.000000,11
18,30,173.019758,47360,0.123413862,0.126500000,3.086138,1,173.019758,10.000000,11
19,30,180.912982,47360,0.128736103,0.133500000,4.763897,1,180.912982,10.000000,11
20,30,180.155890,47360,0.135238018,0.140000000,4.761982,1,180.155890,10.000000,11
21,30,185.621606,47360,0.141309234,0.144500000,3.190766,1,185.621606,10.000000,11
22,30,180.756168,47360,0.147365433,0.153000000,5.634567,1,180.756168,10.000000,11
23,30,183.994057,47360,0.152794695,0.156500000,3.705305,1,183.994057,10.000000,11
24,30,184.833846,47360,0.157341795,0.160500000,3.158205,1,184.833846,10.000000,11
25,30,187.691495,47360,0.162538341,0.166000000,3.461659,1,187.691495,10.000000,11
26,30,181.551259,47360,0.170399971,0.176000000,5.600029,1,181.551259,10.000000,11
27,25,232.019308,39596,0.175882955,0.178500000,2.617045,1,232.019308,10.000000,11
28,30,183.865241,47360,0.180385900,0.183500000,3.114100,1,183.865241,10.000000,11
29,30,193.357485,47360,0.186243568,0.192000000,5.756432,1,193.357485,10.000000,11
30,30,190.954856,47360,0.191624158,0.197000000,5.375842,1,190.954856,10.000000,11
31,30,193.203811,47360,0.196367682,0.202000000,5.632318,1,193.203811,10.000000,11
33,25,242.452793,39596,0.213442560,0.237500000,24.057440,0,1050.257266,10.000000,10
34,30,183.526838,47360,0.218277684,0.237500000,19.222316,0,1050.257266,10.000000,10
35,35,156.279983,55124,0.226514427,0.237500000,10.985573,0,1050.257266,10.000000,10
36,25,235.119787,39596,0.231805581,0.237500000,5.694419,1,235.119787,10.000000,10
37,35,158.719544,55124,0.236640518,0.246000000,9.359482,1,158.719544,10.000000,10
38,25,239.592411,39596,0.241549370,0.247500000,5.950630,1,239.592411,10.000000,10
39,35,154.959836,55124,0.248793337,0.255500000,6.706663,1,154.959836,10.000000,10
40,30,184.601393,47360,0.254230454,0.261000000,6.769546,1,184.601393,10.000000,10
41,35,154.331861,55124,0.260175830,0.267500000,7.324170,1,154.331861,10.000000,10
42,25,232.795278,39596,0.265150333,0.271500000,6.349667,1,232.795278,10.000000,10
43,25,232.055286,39596,0.271047858,0.279000000,7.952142,1,232.055286,10.000000,10
44,25,236.447213,39596,0.276207717,0.281500000,5.292283,1,236.447213,10.000000,10
45,35,152.718801,55124,0.281596651,0.286500000,4.903349,1,152.718801,10.000000,10
46,30,179.619683,47360,0.288785846,0.295500000,6.714154,1,179.619683,10.000000,10
47,30,184.846142,47360,0.295708786,0.305000000,9.291214,1,184.846142,10.000000,10
48,25,227.231630,39596,0.301932246,0.309500000,7.567754,1,227.231630,10.000000,10
49,30,185.778304,47360,0.309055566,0.316000000,6.944434,1,185.778304,10.000000,10
50,35,153.373532,55124,0.317200537,0.326500000,9.299463,1,153.373532,10.000000,10
51,25,238.282092,39596,0.322251848,0.328500000,6.248152,1,238.282092,10.000000,10
52,30,196.374971,47360,0.327984438,0.337500000,9.515562,1,196.374971,10.000000,10
53,25,240.277368,39596,0.335061257,0.342000000,6.938743,1,240.277368,10.000000,10
54,35,156.977339,55124,0.342362777,0.346000000,3.637223,1,156.977339,10.000000,10
55,25,232.934623,39596,0.347293237,0.357000000,9.706763,1,232.934623,10.000000,10
56,35,157.774255,55124,0.353213301,0.363500000,10.286699,0,1050.257266,10.000000,10
57,25,237.780876,39596,0.359885543,0.365500000,5.614457,1,237.780876,10.000000,10
58,30,193.311772,47360,0.366852789,0.372500000,5.647211,1,193.311772,10.000000,10
59,25,242.616766,39596,0.371907216,0.379000000,7.092784,1,242.616766,10.000000,10
60,30,193.151618,47360,0.378382968,0.387000000,8.617032,1,193.151618,10.000000,10
61,35,161.719998,55124,0.383442854,0.389000000,5.557146,1,161.719998,10.000000,10
62,25,243.966081,39596,0.387993201,0.394500000,6.506799,1,243.966081,10.000000,10
63,35,161.266604,55124,0.394649450,0.401000000,6.350550,1,161.266604,10.000000,10
64,25,229.609020,39596,0.400265370,0.406000000,5.734630,1,229.609020,10.000000,10
65,35,146.822317,55124,0.404966472,0.417000000,12.033528,0,1050.257266,10.000000,11
66,30,173.041773,47360,0.410788970,0.417000000,6.211030,1,173.041773,10.000000,11
67,25,216.434092,39596,0.415322751,0.420500000,5.177249,1,216.434092,10.000000,11
68,25,208.679819,39596,0.421619409,0.430000000,8.380591,1,208.679819,10.000000,11
69,35,137.462848,55124,0.428464278,0.434000000,5.535722,1,137.462848,10.000000,11
70,25,212.385266,39596,0.435422741,0.440500000,5.077259,1,212.385266,10.000000,11
71,35,143.637335,55124,0.442141007,0.445500000,3.358993,1,143.637335,10.000000,11
72,30,169.058807,47360,0.447550384,0.455500000,7.949616,1,169.058807,10.000000,11
73,35,138.238015,55124,0.453283779,0.463000000,9.716221,1,138.238015,10.000000,11
74,25,210.383455,39596,0.458069468,0.463000000,4.930532,1,210.383455,10.000000,11
75,35,141.194922,55124,0.464036988,0.468500000,4.463012,1,141.194922,10.000000,11
76,25,213.719568,39596,0.468569814,0.472000000,3.430186,1,213.719568,10.000000,11
77,25,217.745793,39596,0.473173964,0.476000000,2.826036,1,217.745793,10.000000,11
78,25,210.853410,39596,0.478305888,0.481000000,2.694112,1,210.853410,10.000000,11
79,25,217.237500,39596,0.483529335,0.489500000,5.970665,1,217.237500,10.000000,11
80,30,171.479280,47360,0.488998515,0.493000000,4.001485,1,171.479280,10.000000,11
81,25,212.502820,39596,0.493540916,0.499000000,5.459084,1,212.502820,10.000000,11
82,35,141.158180,55124,0.498422463,0.505000000,6.577537,1,141.158180,10.000000,11
83,25,217.098539,39596,0.504326465,0.507000000,2.673535,1,217.098539,10.000000,11
85,25,220.323926,39596,0.513875145,0.540500000,26.624855,0,1050.257266,10.000000,11
86,30,171.927395,47360,0.518924553,0.540500000,21.575447,0,1050.257266,10.000000,11
87,25,213.359376,39596,0.527083988,0.540500000,13.416012,0,1050.257266,10.000000,11
88,30,173.463680,47360,0.532262816,0.540500000,8.237184,1,173.463680,10.000000,11
89,25,218.534511,39596,0.537854510,0.540500000,2.645490,1,218.534511,10.000000,11
90,25,225.078540,39596,0.543630581,0.546500000,2.869419,1,225.078540,10.000000,11
91,25,224.949583,39596,0.548094450,0.554500000,6.405550,1,224.949583,10.000000,11
92,25,220.525580,39596,0.554176477,0.562500000,8.323523,1,220.525580,10.000000,11
93,25,225.443479,39596,0.560288590,0.564000000,3.711410,1,225.443479,10.000000,11
94,25,225.179281,39596,0.566326000,0.573000000,6.674000,1,225.179281,10.000000,11
95,30,177.473006,47360,0.573227488,0.576500000,3.272512,1,177.473006,10.000000,11
96,35,140.932784,55124,0.579745919,0.585000000,5.254081,1,140.932784,10.000000,11
97,25,219.756672,39596,0.585498336,0.591500000,6.001664,1,219.756672,10.000000,11
98,35,140.450434,55124,0.590867495,0.595000000,4.132505,1,140.450434,10.000000,11
99,25,222.952016,39596,0.595621736,0.601000000,5.378264,1,222.952016,10.000000,11
100,25,225.366373,39596,0.601000504,0.611000000,9.999496,1,225.366373,10.000000,13
101,35,148.458941,55124,0.606027892,0.613500000,7.472108,1,148.458941,10.000000,13
102,25,223.657418,39596,0.611709310,0.617000000,5.290690,1,223.657418,10.000000,13
103,25,214.747188,39596,0.616668928,0.623000000,6.331072,1,214.747188,10.000000,13
104,25,213.822300,39596,0.623117985,0.628500000,5.382015,1,213.822300,10.000000,13
105,30,163.581357,47360,0.627930410,0.630500000,2.569590,1,163.581357,10.000000,13
106,25,202.387138,39596,0.632974906,0.635500000,2.525094,1,202.387138,10.000000,13
107,25,207.308170,39596,0.638981783,0.642000000,3.018217,1,207.308170,10.000000,13
108,30,176.536413,47360,0.644124648,0.647500000,3.375352,1,176.536413,10.000000,13
109,35,139.237111,55124,0.648648219,0.652000000,3.351781,1,139.237111,10.000000,13
110,30,174.191381,47360,0.653532847,0.656500000,2.967153,1,174.191381,10.000000,13
111,25,208.236909,39596,0.658356089,0.663500000,5.143911,1,208.236909,10.000000,13
112,25,212.712479,39596,0.665661699,0.668500000,2.838301,1,212.712479,10.000000,13
113,30,167.340313,47360,0.673254174,0.680000000,6.745826,1,167.340313,10.000000,13
114,25,207.048599,39596,0.679576301,0.683000000,3.423699,1,207.048599,10.000000,13
115,20,262.531778,31832,0.685604392,0.691000000,5.395608,1,262.531778,10.000000,13
116,25,206.964923,39596,0.690091892,0.693500000,3.408108,1,206.964923,10.000000,13
117,25,205.108348,39596,0.694620275,0.698000000,3.379725,1,205.108348,10.000000,13
118,25,200.066490,39596,0.699322959,0.708000000,8.677041,1,200.066490,10.000000,13
119,25,192.736260,39596,0.703903070,0.709500000,5.596930,1,192.736260,10.000000,13
120,40,105.873204,62888,0.709757359,0.715000000,5.242641,1,105.873204,10.000000,13
121,35,128.029473,55124,0.719393994,0.722000000,2.606006,1,128.029473,10.000000,13
122,40,110.873717,62888,0.725291815,0.734000000,8.708185,1,110.873717,10.000000,13
123,30,165.750929,47360,0.733571945,0.739500000,5.928055,1,165.750929,10.000000,13
124,25,202.838524,39596,0.739662863,0.742500000,2.837137,1,202.838524,10.000000,13
125,40,105.693824,62888,0.745272908,0.748500000,3.227092,1,105.693824,10.000000,13
126,35,126.532195,55124,0.754930824,0.760000000,5.069176,1,126.532195,10.000000,13
127,40,101.801236,62888,0.760849461,0.764000000,3.150539,1,101.801236,10.000000,13
128,25,196.271944,39596,0.767215457,0.771500000,4.284543,1,196.271944,10.000000,13
129,25,198.028489,39596,0.771718944,0.777000000,5.281056,1,198.028489,10.000000,13
130,40,108.219117,62888,0.778283527,0.783500000,5.216473,1,108.219117,10.000000,13
131,40,106.484838,62888,0.785548211,0.789500000,3.951789,1,106.484838,10.000000,13
132,35,129.056206,55124,0.790920106,0.797000000,6.079894,1,129.056206,10.000000,13
133,25,199.671636,39596,0.796646170,0.799500000,2.853830,1,199.671636,10.000000,13
134,35,121.003237,55124,0.801781568,0.807500000,5.718432,1,121.003237,10.000000,13
135,30,152.310742,47360,0.807410167,0.813000000,5.589833,1,152.310742,10.000000,13
136,35,125.040582,55124,0.814327836,0.822500000,8.172164,1,125.040582,10.000000,13
137,25,192.699288,39596,0.818796399,0.822500000,3.703601,1,192.699288,10.000000,13
138,25,194.920217,39596,0.823801784,0.832000000,8.198216,1,194.920217,10.000000,13
139,25,188.696017,39596,0.830592145,0.833500000,2.907855,1,188.696017,10.000000,13
140,20,241.054613,31832,0.837823371,0.840500000,2.676629,1,241.054613,10.000000,13
141,30,148.540639,47360,0.842914664,0.851500000,8.585336,1,148.540639,10.000000,13
142,25,187.844289,39596,0.847456214,0.851500000,4.043786,1,187.844289,10.000000,13
143,40,98.627921,62888,0.853667701,0.859500000,5.832299,1,98.627921,10.000000,13
144,15,336.856477,24067,0.859183422,0.861500000,2.316578,1,336.856477,10.000000,13
145,40,98.371654,62888,0.865362746,0.871500000,6.137254,1,98.371654,10.000000,13
146,15,319.551814,24067,0.871399751,0.873500000,2.100249,1,319.551814,10.000000,13
147,35,114.135870,55124,0.876397987,0.879000000,2.602013,1,114.135870,10.000000,13
148,40,96.367608,62888,0.881295557,0.885000000,3.704443,1,96.367608,10.000000,13
149,35,119.869510,55124,0.886750837,0.891000000,4.249163,1,119.869510,10.000000,13
150,25,185.491675,39596,0.892760624,0.895500000,2.739376,1,185.491675,10.000000,13
151,35,119.462863,55124,0.898642453,0.909500000,10.857547,0,1050.257266,10.000000,13
152,15,328.923858,24067,0.904664556,0.910000000,5.335444,1,328.923858,10.000000,13
153,30,140.798261,47360,0.909540778,0.915500000,5.959222,1,140.798261,10.000000,13
154,25,174.087408,39596,0.914193969,0.917000000,2.806031,1,174.087408,10.000000,13
155,40,96.805832,62888,0.920388921,0.926500000,6.111079,1,96.805832,10.000000,13
156,40,100.119486,62888,0.928497340,0.934500000,6.002660,1,100.119486,10.000000,13
157,35,123.471000,55124,0.935351907,0.938500000,3.148093,1,123.471000,10.000000,13
158,25,188.500219,39596,0.941939351,0.944500000,2.560649,1,188.500219,10.000000,13
159,35,129.041302,55124,0.946611438,0.955500000,8.888562,1,129.041302,10.000000,13
160,25,196.939384,39596,0.953027306,0.957000000,3.972694,1,196.939384,10.000000,13
161,35,127.002828,55124,0.959719158,0.964500000,4.780842,1,127.002828,10.000000,13
162,25,190.743989,39596,0.967148870,0.970000000,2.851130,1,190.743989,10.000000,13
163,30,153.499629,47360,0.973861270,0.982000000,8.138730,1,153.499629,10.000000,13
164,35,126.034963,55124,0.980583508,0.987500000,6.916492,1,126.034963,10.000000,13
165,25,192.267925,39596,0.985504765,0.991000000,5.495235,1,192.267925,10.000000,13
166,25,188.461123,39596,0.990121159,0.994000000,3.878841,1,188.461123,10.000000,13
167,25,188.907989,39596,0.996033982,0.999000000,2.966018,1,188.907989,10.000000,13
168,35,123.855906,55124,1.003952073,1.013000000,9.047927,1,123.855906,10.000000,13
169,30,152.743099,47360,1.010980270,1.015000000,4.019730,1,152.743099,10.000000,13
170,40,104.690512,62888,1.016655109,1.020500000,3.844891,1,104.690512,10.000000,13
171,40,104.434315,62888,1.021009447,1.028500000,7.490553,1,104.434315,10.000000,13
172,30,149.129916,47360,1.027125398,1.030000000,2.874602,1,149.129916,10.000000,13
173,40,104.297846,62888,1.032868538,1.037500000,4.631462,1,104.297846,10.000000,13
174,40,100.100295,62888,1.040910484,1.044000000,3.089516,1,100.100295,10.000000,13
175,40,99.870538,62888,1.047002757,1.051500000,4.497243,1,99.870538,10.000000,13
176,30,147.882010,47360,1.051446997,1.054000000,2.553003,1,147.882010,10.000000,13
177,40,99.554386,62888,1.057142982,1.060500000,3.357018,1,99.554386,10.000000,13
178,40,99.609740,62888,1.061759541,1.065500000,3.740459,1,99.609740,10.000000,13
179,40,98.215563,62888,1.067211636,1.070500000,3.288364,1,98.215563,10.000000,13
180,25,181.121000,39596,1.073468718,1.078500000,5.031282,1,181.121000,10.000000,13
181,35,122.900855,55124,1.081063645,1.084500000,3.436355,1,122.900855,10.000000,13
182,25,186.802740,39596,1.086222666,1.092000000,5.777334,1,186.802740,10.000000,13
183,35,127.323509,55124,1.093089462,1.097000000,3.910538,1,127.323509,10.000000,13
184,25,186.953094,39596,1.099324763,1.105000000,5.675237,1,186.953094,10.000000,13
185,40,103.708738,62888,1.106517914,1.113500000,6.982086,1,103.708738,10.000000,13
186,35,124.562991,55124,1.115476423,1.119000000,3.523577,1,124.562991,10.000000,13
187,25,191.356516,39596,1.122416555,1.128000000,5.583445,1,191.356516,10.000000,13
188,25,186.613412,39596,1.129753893,1.135000000,5.246107,1,186.613412,10.000000,13
189,25,183.006045,39596,1.134850718,1.138500000,3.649282,1,183.006045,10.000000,13
190,25,189.360965,39596,1.139994388,1.149000000,9.005612,1,189.360965,10.000000,13
191,25,184.768795,39596,1.145689806,1.149000000,3.310194,1,184.768795,10.000000,13
192,25,182.913757,39596,1.153093324,1.156000000,2.906676,1,182.913757,10.000000,13
193,40,99.891911,62888,1.159500494,1.164000000,4.499506,1,99.891911,10.000000,13
194,40,97.451784,62888,1.167379845,1.170500000,3.120155,1,97.451784,10.000000,13
195,25,184.644518,39596,1.177040170,1.180500000,3.459830,1,184.644518,10.000000,13
196,35,121.440932,55124,1.182377267,1.187500000,5.122733,1,121.440932,10.000000,13
197,25,185.737294,39596,1.187480920,1.191000000,3.519080,1,185.737294,10.000000,13
198,35,125.720392,55124,1.192844350,1.198500000,5.655650,1,125.720392,10.000000,13
199,30,153.095909,47360,1.197974953,1.201000000,3.025047,1,153.095909,10.000000,13
200,35,131.601689,55124,1.203803379,1.213500000,9.696621,1,131.601689,10.000000,11
201,30,162.901586,47360,1.209274731,1.215000000,5.725269,1,162.901586,10.000000,11
202,25,202.908714,39596,1.217781747,1.220500000,2.718253,1,202.908714,10.000000,11
203,25,202.407926,39596,1.223433121,1.226000000,2.566879,1,202.407926,10.000000,11
204,30,164.452639,47360,1.229889255,1.233000000,3.110745,1,164.452639,10.000000,11
205,30,167.113265,47360,1.238142698,1.244500000,6.357302,1,167.113265,10.000000,11
206,25,206.858067,39596,1.244447450,1.247000000,2.552550,1,206.858067,10.000000,11
207,25,209.126861,39596,1.249315341,1.254500000,5.184659,1,209.126861,10.000000,11
208,30,162.035959,47360,1.255552190,1.262000000,6.447810,1,162.035959,10.000000,11
209,25,204.875730,39596,1.261843193,1.264500000,2.656807,1,204.875730,10.000000,11
210,30,161.260847,47360,1.266961355,1.270000000,3.038645,1,161.260847,10.000000,11
211,25,205.444361,39596,1.271798531,1.277000000,5.201469,1,205.444361,10.000000,11
212,30,164.598403,47360,1.278068192,1.283500000,5.431808,1,164.598403,10.000000,11
213,35,142.123218,55124,1.285155575,1.290500000,5.344425,1,142.123218,10.000000,11
214,25,213.016440,39596,1.290688778,1.293500000,2.811222,1,213.016440,10.000000,11
215,35,143.576030,55124,1.297801322,1.301000000,3.198678,1,143.576030,10.000000,11
216,30,177.242372,47360,1.302707494,1.313000000,10.292506,0,1050.257266,10.000000,11
217,35,155.022995,55124,1.308703384,1.316000000,7.296616,1,155.022995,10.000000,11
218,25,230.663828,39596,1.315575880,1.318500000,2.924120,1,230.663828,10.000000,11
219,25,231.091800,39596,1.322854277,1.325500000,2.645723,1,231.091800,10.000000,11
220,30,195.608813,47360,1.327322576,1.333500000,6.177424,1,195.608813,10.000000,11
221,30,194.211911,47360,1.335361037,1.344500000,9.138963,1,194.211911,10.000000,11
222,35,161.123211,55124,1.342927067,1.349000000,6.072933,1,161.123211,10.000000,11
223,25,238.973364,39596,1.348038447,1.353500000,5.461553,1,238.973364,10.000000,11
224,35,164.303977,55124,1.354165187,1.360000000,5.834813,1,164.303977,10.000000,11
225,40,142.110281,62888,1.359126187,1.365000000,5.873813,1,142.110281,10.000000,11
226,25,257.898895,39596,1.363523544,1.367500000,3.976456,1,257.898895,10.000000,11
227,40,144.577215,62888,1.369384792,1.373000000,3.615208,1,144.577215,10.000000,11
228,35,173.564489,55124,1.374405313,1.381500000,7.094687,1,173.564489,10.000000,11
229,25,251.833961,39596,1.379687376,1.382500000,2.812624,1,251.833961,10.000000,11
230,35,170.199242,55124,1.386419512,1.394000000,7.580488,1,170.199242,10.000000,11
231,25,254.673443,39596,1.391099997,1.401000000,9.900003,1,254.673443,10.000000,11
232,25,244.492106,39596,1.395521151,1.404500000,8.978849,1,244.492106,10.000000,11
233,25,247.557095,39596,1.404038967,1.415000000,10.961033,0,1050.257266,10.000000,12
234,25,263.758200,39596,1.410011305,1.419500000,9.488695,1,263.758200,10.000000,12
235,25,256.596934,39596,1.418383324,1.421000000,2.616676,1,256.596934,10.000000,12
236,30,204.770461,47360,1.422855265,1.425500000,2.644735,1,204.770461,10.000000,12
237,30,203.981307,47360,1.427898692,1.430500000,2.601308,1,203.981307,10.000000,12
238,35,175.779478,55124,1.435039565,1.438500000,3.460435,1,175.779478,10.000000,12
239,30,213.722910,47360,1.439852945,1.442500000,2.647055,1,213.722910,10.000000,12
240,35,181.592618,55124,1.444589348,1.452500000,7.910652,1,181.592618,10.000000,12
241,30,217.333560,47360,1.450879230,1.456500000,5.620770,1,217.333560,10.000000,12
242,35,183.796755,55124,1.456532605,1.463000000,6.467395,1,183.796755,10.000000,12
243,40,147.988202,62888,1.461822442,1.470500000,8.677558,1,147.988202,10.000000,12
244,35,176.151623,55124,1.466191207,1.476000000,9.808793,1,176.151623,10.000000,12
245,30,205.591964,47360,1.470833507,1.476000000,5.166493,1,205.591964,10.000000,12
246,30,199.368317,47360,1.477503022,1.483000000,5.496978,1,199.368317,10.000000,12
247,30,198.069508,47360,1.483339664,1.487000000,3.660336,1,198.069508,10.000000,12
248,40,137.265013,62888,1.488207024,1.493500000,5.292976,1,137.265013,10.000000,12
249,30,200.575487,47360,1.494227967,1.500000000,5.772033,1,200.575487,10.000000,12
250,30,209.309424,47360,1.501760176,1.512500000,10.739824,0,1050.257266,10.000000,12
251,40,148.579610,62888,1.506522778,1.514000000,7.477222,1,148.579610,10.000000,12
252,40,146.027849,62888,1.511807181,1.520500000,8.692819,1,146.027849,10.000000,12
253,40,146.848349,62888,1.516164883,1.520500000,4.335117,1,146.848349,10.000000,12
254,30,205.660733,47360,1.522494516,1.528500000,6.005484,1,205.660733,10.000000,12
255,25,257.264362,39596,1.529878661,1.535000000,5.121339,1,257.264362,10.000000,12
256,30,203.945674,47360,1.534334920,1.539500000,5.165080,1,203.945674,10.000000,12
257,25,250.613748,39596,1.539781457,1.545000000,5.218543,1,250.613748,10.000000,12
258,30,200.308118,47360,1.544235890,1.547500000,3.264110,1,200.308118,10.000000,12
259,30,199.266755,47360,1.548823159,1.551500000,2.676841,1,199.266755,10.000000,12
260,25,238.407140,39596,1.553667480,1.559500000,5.832520,1,238.407140,10.000000,12
261,30,185.924536,47360,1.558702981,1.564500000,5.797019,1,185.924536,10.000000,12
262,25,220.986651,39596,1.564851521,1.570000000,5.148479,1,220.986651,10.000000,12
263,25,221.044097,39596,1.572236194,1.577500000,5.263806,1,221.044097,10.000000,12
264,30,174.712264,47360,1.577397593,1.582500000,5.102407,1,174.712264,10.000000,12
265,25,219.782506,39596,1.581944977,1.584500000,2.555023,1,219.782506,10.000000,12
266,25,221.185738,39596,1.589091129,1.598000000,8.908871,1,221.185738,10.000000,12
267,30,174.521861,47360,1.594097034,1.603500000,9.402966,1,174.521861,10.000000,12
268,25,220.696139,39596,1.601155718,1.607000000,5.844282,1,220.696139,10.000000,13
269,35,137.583439,55124,1.608345950,1.614500000,6.154050,1,137.583439,10.000000,13
270,30,171.253520,47360,1.614167885,1.620000000,5.832115,1,171.253520,10.000000,13
271,20,271.571726,31832,1.619735586,1.625000000,5.264414,1,271.571726,10.000000,13
272,40,116.262747,62888,1.625048169,1.628500000,3.451831,1,116.262747,10.000000,13
273,30,174.992959,47360,1.631029554,1.634000000,2.970446,1,174.992959,10.000000,13
274,25,219.690286,39596,1.635545247,1.638500000,2.954753,1,219.690286,10.000000,13
275,30,179.136788,47360,1.640119479,1.643000000,2.880521,1,179.136788,10.000000,13
276,25,220.674376,39596,1.647108401,1.653500000,6.391599,1,220.674376,10.000000,13
277,30,187.636973,47360,1.652148558,1.655500000,3.351442,1,187.636973,10.000000,13
278,25,235.366257,39596,1.657732811,1.660500000,2.767189,1,235.366257,10.000000,13
279,30,190.793360,47360,1.665039750,1.668000000,2.960250,1,190.793360,10.000000,13
280,30,191.304384,47360,1.669585024,1.672500000,2.914976,1,191.304384,10.000000,13
281,30,193.893982,47360,1.675250914,1.679500000,4.249086,1,193.893982,10.000000,13
282,25,249.521798,39596,1.680113222,1.683000000,2.886778,1,249.521798,10.000000,13
283,30,205.737206,47360,1.685974422,1.691500000,5.525578,1,205.737206,10.000000,13
284,30,202.274773,47360,1.692808936,1.696500000,3.691064,1,202.274773,10.000000,13
285,25,252.392247,39596,1.697603477,1.700500000,2.896523,1,252.392247,10.000000,13
286,30,202.939429,47360,1.703465403,1.712000000,8.534597,1,202.939429,10.000000,13
287,25,255.473840,39596,1.708194509,1.714000000,5.805491,1,255.473840,10.000000,13
288,40,139.965222,62888,1.714367683,1.719500000,5.132317,1,139.965222,10.000000,13
289,40,135.199947,62888,1.719976271,1.726000000,6.023729,1,135.199947,10.000000,13
290,35,163.642965,55124,1.724613904,1.731000000,6.386096,1,163.642965,10.000000,13
291,30,192.273157,47360,1.731558897,1.737000000,5.441103,1,192.273157,10.000000,13
292,30,188.761376,47360,1.736042170,1.739000000,2.957830,1,188.761376,10.000000,13
293,25,226.833291,39596,1.742285959,1.745000000,2.714041,1,226.833291,10.000000,13
294,30,182.729412,47360,1.746743234,1.749500000,2.756766,1,182.729412,10.000000,13
295,30,185.983588,47360,1.753579352,1.762000000,8.420648,1,185.983588,10.000000,13
296,25,233.051925,39596,1.758125818,1.762000000,3.874182,1,233.051925,10.000000,13
297,30,193.174849,47360,1.763348930,1.766000000,2.651070,1,193.174849,10.000000,13
298,40,131.306680,62888,1.769676687,1.773000000,3.323313,1,131.306680,10.000000,13
299,25,250.297728,39596,1.774035663,1.777000000,2.964337,1,250.297728,10.000000,13
300,30,198.872960,47360,1.778612869,1.781500000,2.887131,1,198.872960,10.000000,13
301,25,245.610788,39596,1.784650672,1.787500000,2.849328,1,245.610788,10.000000,13
302,35,163.350075,55124,1.789633503,1.795000000,5.366497,1,163.350075,10.000000,13
303,30,208.922610,47360,1.795095285,1.801000000,5.904715,1,208.922610,10.000000,13
306,35,162.955231,55124,1.812164620,1.831500000,19.335380,0,1050.257266,10.000000,10
307,30,198.804313,47360,1.816655141,1.831500000,14.844859,0,1050.257266,10.000000,10
308,30,195.401761,47360,1.821403341,1.831500000,10.096659,0,1050.257266,10.000000,10
309,30,196.222980,47360,1.826853748,1.837000000,10.146252,0,1050.257266,10.000000,10
310,30,189.503209,47360,1.832788189,1.839000000,6.211811,1,189.503209,10.000000,10
311,30,192.397199,47360,1.841142498,1.844500000,3.357502,1,192.397199,10.000000,10
312,35,159.757508,55124,1.845482430,1.855500000,10.017570,0,1050.257266,10.000000,10
313,30,196.530842,47360,1.852588362,1.860500000,7.911638,1,196.530842,10.000000,10
314,30,190.823400,47360,1.861091429,1.866500000,5.408571,1,190.823400,10.000000,10
315,35,154.005755,55124,1.866221037,1.872500000,6.278963,1,154.005755,10.000000,10
316,25,233.326794,39596,1.872575764,1.876000000,3.424236,1,233.326794,10.000000,10
317,30,189.068139,47360,1.876955486,1.884000000,7.044514,1,189.068139,10.000000,10
318,30,184.243796,47360,1.881413614,1.885000000,3.586386,1,184.243796,10.000000,10
319,25,231.091077,39596,1.886679657,1.896000000,9.320343,1,231.091077,10.000000,10
320,25,234.200147,39596,1.891048191,1.897500000,6.451809,1,234.200147,10.000000,10
321,25,227.037235,39596,1.896352309,1.902500000,6.147691,1,227.037235,10.000000,10
322,25,225.329682,39596,1.901369209,1.910000000,8.630791,1,225.329682,10.000000,10
324,30,184.702841,47360,1.910965355,1.938000000,27.034645,0,1050.257266,10.000000,10
325,25,229.294014,39596,1.915931247,1.938000000,22.068753,0,1050.257266,10.000000,10
326,30,183.442778,47360,1.920762155,1.938000000,17.237845,0,1050.257266,10.000000,10
327,25,226.777843,39596,1.926920906,1.938000000,11.079094,0,1050.257266,10.000000,10
328,30,185.202308,47360,1.931580842,1.938000000,6.419158,1,185.202308,10.000000,10
